StrengthHub Online | Master Exercise Database																																			
110 exercises with screen ready copy, Min RIR floors and ID backed substitutions. The workbook is the full workout backend: read order is Screening Outcomes, Split Selector or Custom Split Rules, Schedule Rules + External Commitments, Session Templates, Exercise Database, Prescription Logic, Safety Rules, Substitutions.																																			
ID	Exercise	Muscle Group	Primary Muscles	Movement Pattern	Substitution Group	Type	Equipment Tier	Equipment	Skill Level	Unilateral	Loadable	Prescription Class	Primary Goal Fit	Why It Is In The Database	What It Does	Step 1	Step 2	Step 3	Common Mistake	Substitutions (Best First)	Substitution Count	Min RIR	Safety Note	Substitution IDs (Best First)	Failure Allowed	Spotter Recommended	Required Equipment Tags	Optional Equipment Tags	Impact Level	Supported	Active	video_url	Measurement Type	Load Unit	Stress Regions
SH10	Prone Y-T-W Raise	Shoulders	Rear delt, mid traps, lower traps	Horizontal Pull	Shoulders | Rear Delt	Isolation	Bodyweight	None	Beginner	No	No	Rep	General Fitness	Floor based scapular and rear delt work with no kit at all. Directly counters the rounded shoulder posture students accumulate over a day of lectures and laptop work.	A floor drill that wakes up the rear delts and mid back before or after training.	Lie face down with your arms overhead in a Y shape	Lift your arms off the floor, then sweep them to a T, then a W	Lower slowly and keep your neck relaxed	Cranking the neck up instead of lifting from the shoulder blades.	Band Pull Apart, Rear Delt Fly, Face Pull	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Band Pull Apart.	SH12, SH05, SH06	Yes	No	none		Low	Yes	Yes		reps	bodyweight	shoulder, elbow, upper_back
QD01	Barbell Back Squat	Quads	Quadriceps, glutes, adductors	Squat	Quads | Squat	Compound	Full Gym	Barbell, rack	Intermediate	No	Yes	Load	Strength	The reference lower body strength lift. Nothing else loads the legs this heavily while training bracing and hip and knee extension together.	The benchmark leg exercise. Loads the quads, glutes and whole body harder than anything else.	Set the bar on your upper back and step out with feet shoulder width	Sit down between your hips, knees tracking over your toes	Drive through your mid foot back to standing	Letting the chest collapse forward and the hips shoot up first.	Front Squat, Leg Press, Goblet Squat, Bulgarian Split Squat, Split Squat, Bodyweight Squat, Step Up, Wall Sit	8	1	Free weight compound. Always stop at least one rep short of failure. Swap to Front Squat if form breaks down.	QD06, QD05, QD02, QD03, QD11, QD09, QD08, QD12	No	Yes	barbell,rack		Low	No	Yes		weight_reps	kg	knee, hip, lower_back
QD02	Goblet Squat	Quads	Quadriceps, glutes	Squat	Quads | Squat	Compound	Basic Gym	Dumbbell or kettlebell	Beginner	No	Yes	Load	General Fitness	The teaching squat. The front load naturally corrects torso position, so a beginner learns depth and posture without a coach present.	A front loaded squat that teaches good depth and position almost automatically.	Hold a dumbbell against your chest with both hands	Squat down between your hips, keeping your chest tall	Stand back up and squeeze your glutes at the top	Rounding the upper back as the weight pulls you forward.	Barbell Back Squat, Leg Press, Bodyweight Squat, Split Squat, Step Up, Wall Sit	6	1	Free weight compound. Always stop at least one rep short of failure. Swap to Barbell Back Squat if form breaks down.	QD01, QD05, QD09, QD11, QD08, QD12	No	No	dumbbell/kettlebell		Low	No	Yes		weight_reps	kg	knee, hip, lower_back
QD03	Bulgarian Split Squat	Quads	Quadriceps, glutes	Lunge	Quads | Lunge	Compound	Basic Gym	Dumbbells, bench	Intermediate	Yes	Yes	Load	Hypertrophy	Brutal quad and glute stimulus from light loads, which matters when a home user only owns 12kg dumbbells. Also exposes imbalances.	A rear foot elevated split squat that hammers one leg at a time with light weight.	Put your back foot on a bench and set your front foot well forward	Lower straight down until your back knee is just off the floor	Drive through your front foot to stand back up	Standing too close to the bench so the front knee jams forward.	Split Squat, Walking Lunge, Step Up, Goblet Squat, Leg Press	5	1	Free weight compound. Always stop at least one rep short of failure. Swap to Split Squat if form breaks down.	QD11, QD04, QD08, QD02, QD05	No	No	dumbbell,bench		Low	No	Yes		weight_reps	kg	knee, hip, ankle
QD04	Walking Lunge	Quads	Quadriceps, glutes	Lunge	Quads | Lunge	Compound	Bodyweight	Optional dumbbells	Beginner	Yes	Yes	Load	Fat Loss	Trains single leg strength, balance and conditioning at once. Bodyweight version needs no equipment and raises heart rate fast.	A moving lunge that builds legs, balance and conditioning at once.	Step forward into a long stride	Lower your back knee toward the floor, torso tall	Drive through the front foot and step straight into the next rep	Taking short steps so the front knee travels far past the toes.	Split Squat, Step Up, Bulgarian Split Squat, Bodyweight Squat, Goblet Squat	5	1	Free weight compound. Always stop at least one rep short of failure. Swap to Split Squat if form breaks down.	QD11, QD08, QD03, QD09, QD02	No	No	none	dumbbell	Low	No	Yes		weight_reps	kg	knee, hip, ankle
QD05	Leg Press	Quads	Quadriceps, glutes	Squat	Quads | Squat	Compound	Full Gym	Leg press machine	Beginner	No	Yes	Load	Hypertrophy	Heavy quad loading with a supported spine. Lets a user train legs hard on days when fatigue or a back issue rules out squatting.	A machine squat pattern that lets you push heavy with zero balance demand.	Set your feet mid platform, shoulder width apart	Lower the sled until your knees reach around 90 degrees	Press back up without locking the knees out hard	Letting the lower back round off the pad at the bottom.	Barbell Back Squat, Goblet Squat, Bulgarian Split Squat, Bodyweight Squat, Wall Sit	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Barbell Back Squat.	QD01, QD02, QD03, QD09, QD12	Yes	No	machine_leg_press		Low	Yes	Yes		weight_reps	kg	knee, hip, lower_back
QD06	Front Squat	Quads	Quadriceps, upper back	Squat	Quads | Squat	Compound	Full Gym	Barbell, rack	Advanced	No	Yes	Load	Strength	Shifts load onto the quads and forces an upright torso. A useful squat variation for users whose back squat is limited by hip mobility.	A front racked squat that keeps you upright and loads the quads hardest. Advanced users only.	Rack the bar on your front delts with your elbows high	Squat straight down, keeping your elbows up the whole way	Drive up through your mid foot	Letting the elbows drop, which dumps the bar forward.	Goblet Squat, Barbell Back Squat, Leg Press, Bulgarian Split Squat, Bodyweight Squat	5	2	Advanced only. Never taken to failure. Beginner and intermediate users are served Goblet Squat instead.	QD02, QD01, QD05, QD03, QD09	No	Yes	barbell,rack		Low	No	Yes		weight_reps	kg	knee, hip, lower_back
QD07	Leg Extension	Quads	Quadriceps, rectus femoris	Isolation	Quads | Knee Extension	Isolation	Full Gym	Leg extension machine	Beginner	No	Yes	Load	Hypertrophy	The only common movement that trains the rectus femoris with the hip extended. Adds quad volume without any systemic fatigue.	A machine isolation that targets the quads directly with no fatigue anywhere else.	Set the pad on your lower shin and sit back into the seat	Straighten your legs and pause briefly at the top	Lower under control without letting the weight slam	Swinging the weight up with momentum from the hips.	Sissy Squat, Reverse Nordic Curl, Leg Press, Bodyweight Squat, Wall Sit	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Sissy Squat.	QD14, QD10, QD05, QD09, QD12	Yes	No	machine_leg_extension		Low	Yes	Yes		weight_reps	kg	knee
QD08	Step Up	Quads	Quadriceps, glutes	Lunge	Quads | Lunge	Compound	Bodyweight	Bench or box, optional dumbbells	Beginner	Yes	Yes	Load	General Fitness	Low skill, low impact and highly transferable to stairs and daily life. A safe entry point to single leg training for deconditioned users.	A step up that builds single leg strength and carries straight over to stairs and sport.	Place one foot fully on a box around knee height	Drive through that heel to stand up tall	Lower slowly under control with the same leg	Pushing off the back foot instead of driving with the top leg.	Split Squat, Walking Lunge, Bulgarian Split Squat, Bodyweight Squat	4	1	Free weight compound. Always stop at least one rep short of failure. Swap to Split Squat if form breaks down.	QD11, QD04, QD03, QD09	No	No	bench/box/step	dumbbell	Low	No	Yes		weight_reps	kg	knee, hip, ankle
QD09	Bodyweight Squat	Quads	Quadriceps, glutes	Squat	Quads | Squat	Compound	Bodyweight	None	Beginner	No	No	Rep	General Fitness	The squat pattern was entirely absent from the bodyweight tier. This restores it, teaches the movement before load is added, and needs nothing but floor space.	The base squat pattern. Trains the legs and grooves the movement before you add load.	Stand with feet shoulder width, toes slightly out	Sit down between your hips as far as you comfortably can	Stand back up and squeeze your glutes	Cutting the depth short and only using the top half of the range.	Goblet Squat, Split Squat, Wall Sit, Leg Press, Step Up	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Goblet Squat.	QD02, QD11, QD12, QD05, QD08	Yes	No	none		Low	No	Yes		reps	bodyweight	knee, hip, lower_back
QD10	Reverse Nordic Curl	Quads	Quadriceps, rectus femoris	Isolation	Quads | Knee Extension	Isolation	Bodyweight	None	Intermediate	No	No	Rep	Hypertrophy	Loaded quad stretch with no equipment, and the only alternative to the leg extension machine. Removes a hard dependency on a single piece of gym kit.	A brutal bodyweight quad isolation that also protects the knees over time.	Kneel tall on a soft surface with your glutes squeezed	Lean back slowly, keeping a straight line from knees to head	Go only as far as you can control, then pull yourself back up	Breaking at the hips instead of staying in one straight line.	Sissy Squat, Leg Extension, Wall Sit, Bodyweight Squat	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Sissy Squat.	QD14, QD07, QD12, QD09	Yes	No	none		Low	Yes	Yes		reps	bodyweight	knee
QD11	Split Squat	Quads	Quadriceps, glutes	Lunge	Quads | Lunge	Compound	Bodyweight	None	Beginner	Yes	Yes	Load	General Fitness	Stationary, so it needs no room to travel and no balance to walk. The safest single leg entry point and the regression the Bulgarian split squat was missing.	A stationary lunge. All the single leg benefit with none of the balance drama.	Take a long stride and stay in that split stance	Lower your back knee toward the floor	Push through your front foot to stand back up	Leaning the torso forward over the front knee.	Walking Lunge, Step Up, Bulgarian Split Squat, Bodyweight Squat	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Walking Lunge.	QD04, QD08, QD03, QD09	Yes	No	none		Low	No	Yes		weight_reps	kg	knee, hip, ankle
QD12	Wall Sit	Quads	Quadriceps	Squat	Quads | Squat	Isolation	Bodyweight	Wall	Beginner	No	No	Time	General Fitness	Isometric, silent and needs a wall. Ideal for a shared house or a gap between lectures, and progressed by time rather than load.	A static hold that builds quad endurance with no equipment and no impact.	Slide down a wall until your knees are at 90 degrees	Keep your back flat against the wall and your weight in your heels	Hold for time and breathe normally	Resting the hands on the thighs to take the load off.	Bodyweight Squat, Goblet Squat, Leg Press, Split Squat	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Bodyweight Squat.	QD09, QD02, QD05, QD11	Yes	No	wall		Low	Yes	Yes		duration	seconds	knee, hip, lower_back
QD13	Jump Squat	Quads	Quadriceps, glutes	Squat	Quads | Squat	Compound	Bodyweight	None	Intermediate	No	No	Power	Fat Loss	Adds power and a conditioning stimulus to the squat pattern. Lets a short bodyweight session drive heart rate without abandoning lower body training.	An explosive squat that trains power and burns a lot of energy fast.	Drop into a quarter squat with your arms back	Jump as high as you can, driving the arms up	Land softly, absorb it through the knees and hips, then reset	Landing stiff legged with a loud, hard thud.	Bodyweight Squat, Goblet Squat, Walking Lunge, Step Up	4	2	Never taken to failure. End the set as soon as speed or landing quality drops.	QD09, QD02, QD04, QD08	No	No	none		High	No	Yes		reps	bodyweight	knee, hip, lower_back
HG01	Romanian Deadlift	Hamstrings & Glutes	Hamstrings, glutes, erectors	Hinge	Hamstrings & Glutes | Hinge	Compound	Basic Gym	Barbell or dumbbells	Intermediate	No	Yes	Load	Hypertrophy	The main hip hinge for hamstring length and strength. Teaches the hinge pattern that protects the back in everyday lifting.	A hip hinge that stretches and strengthens the hamstrings and glutes.	Hold the bar at your hips with a soft knee bend	Push your hips back and slide the bar down your thighs	Stop when you feel a hamstring stretch, then drive your hips forward	Bending the knees and turning it into a deadlift.	Single Leg Romanian Deadlift, Cable Pull Through, Dumbbell Deadlift, Back Extension, Hip Thrust, Glute Bridge, Prone Superman	7	1	Free weight compound. Always stop at least one rep short of failure. Swap to Single Leg Romanian Deadlift if form breaks down.	HG07, HG08, BK13, HG09, HG02, HG03, HG12	No	No	barbell/dumbbell		Low	No	Yes		weight_reps	kg	lower_back, hip, hamstring
HG02	Hip Thrust	Hamstrings & Glutes	Gluteus maximus	Hinge	H&G | Glute Bridge	Compound	Basic Gym	Barbell, bench	Beginner	No	Yes	Load	Hypertrophy	Peak glute tension at full hip extension, where squats and deadlifts are easiest. Directly addresses the most requested aesthetic goal on the platform.	The best loaded glute exercise there is, with almost no strain on the lower back.	Sit with your upper back on a bench and the bar over your hips	Drive through your heels and lift your hips until your torso is level	Squeeze the glutes at the top, then lower under control	Overarching the lower back at the top instead of squeezing the glutes.	Glute Bridge, Single Leg Glute Bridge, Cable Pull Through, Romanian Deadlift, Back Extension	5	1	Free weight compound. Always stop at least one rep short of failure. Swap to Glute Bridge if form breaks down.	HG03, HG11, HG08, HG01, HG09	No	No	barbell,bench		Low	Yes	Yes		weight_reps	kg	lower_back, hip, hamstring
HG03	Glute Bridge	Hamstrings & Glutes	Gluteus maximus	Hinge	H&G | Glute Bridge	Compound	Bodyweight	None	Beginner	No	No	Rep	General Fitness	Floor based, no equipment, and the natural regression from the hip thrust. Also a reliable warm up to wake up the glutes before squatting.	A floor glute bridge. The simplest way to learn how to actually use your glutes.	Lie on your back with your knees bent and heels close to your hips	Drive through your heels and lift your hips	Squeeze at the top, then lower slowly	Pushing the hips so high that the lower back takes over.	Hip Thrust, Single Leg Glute Bridge, Cable Pull Through, Back Extension, Prone Superman	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Hip Thrust.	HG02, HG11, HG08, HG09, HG12	Yes	No	none		Low	Yes	Yes		reps	bodyweight	lower_back, hip, hamstring
HG04	Seated Leg Curl	Hamstrings & Glutes	Hamstrings	Isolation	H&G | Knee Flexion	Isolation	Full Gym	Leg curl machine	Beginner	No	Yes	Load	Hypertrophy	Trains knee flexion, which no hinge covers. Hamstrings have two jobs and a complete program must train both.	A machine curl that trains the hamstrings in a stretched, safe position.	Set the pad above your ankles and the thigh pad snug	Curl your heels down and under the seat	Return slowly without letting the stack crash	Letting the hips lift off the seat to get more range.	Lying Leg Curl, Slider Hamstring Curl, Nordic Hamstring Curl, Romanian Deadlift, Single Leg Romanian Deadlift	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Lying Leg Curl.	HG05, HG14, HG06, HG01, HG07	Yes	No	machine_leg_curl		Low	Yes	Yes		weight_reps	kg	knee, hip
HG05	Lying Leg Curl	Hamstrings & Glutes	Hamstrings	Isolation	H&G | Knee Flexion	Isolation	Full Gym	Leg curl machine	Beginner	No	Yes	Load	Hypertrophy	Equipment dependent alternative to the seated curl so the program never fails just because one machine is occupied or absent.	A machine curl that isolates the hamstrings lying face down.	Lie face down with the pad just above your heels	Curl your heels toward your glutes	Lower slowly until your legs are almost straight	Jerking the hips up off the bench to finish the rep.	Seated Leg Curl, Slider Hamstring Curl, Nordic Hamstring Curl, Romanian Deadlift	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Seated Leg Curl.	HG04, HG14, HG06, HG01	Yes	No	machine_leg_curl		Low	Yes	Yes		weight_reps	kg	knee, hip
HG06	Nordic Hamstring Curl	Hamstrings & Glutes	Hamstrings	Isolation	H&G | Knee Flexion	Isolation	Bodyweight	Partner or anchor	Advanced	No	No	Rep	General Fitness	The strongest evidence base of any single exercise for reducing hamstring strain injury. Valuable for the sport playing segment of the user base.	The hardest bodyweight hamstring exercise. Builds serious resistance to hamstring strains. Advanced users only.	Kneel with your ankles anchored and squeeze your glutes	Lower your body forward as slowly as you can, staying in a straight line	Catch yourself with your hands and push back to the start	Bending at the hips instead of holding one straight line.	Slider Hamstring Curl, Lying Leg Curl, Seated Leg Curl, Single Leg Romanian Deadlift, Romanian Deadlift	5	2	Advanced only. Never taken to failure. Beginner and intermediate users are served Slider Hamstring Curl instead.	HG14, HG05, HG04, HG07, HG01	No	No	partner/anchor_point		Low	No	Yes		reps	bodyweight	knee, hip
HG07	Single Leg Romanian Deadlift	Hamstrings & Glutes	Hamstrings, glutes	Hinge	Hamstrings & Glutes | Hinge	Compound	Bodyweight	Optional dumbbell	Intermediate	Yes	Yes	Load	General Fitness	Combines hinge, balance and hip stability. Delivers a real hamstring stimulus from very light loads, which suits minimal home setups.	A single leg hinge that builds hamstrings, glutes and balance with light load.	Stand on one leg with a soft knee bend	Hinge forward, letting the back leg rise behind you	Stop when your torso is level, then return to standing	Letting the hips open out to the side instead of staying square.	Romanian Deadlift, Cable Pull Through, Back Extension, Single Leg Glute Bridge, Prone Superman	5	1	Free weight compound. Always stop at least one rep short of failure. Swap to Romanian Deadlift if form breaks down.	HG01, HG08, HG09, HG11, HG12	No	No	none	dumbbell	Low	No	Yes		weight_reps	kg	lower_back, hip, hamstring
HG08	Cable Pull Through	Hamstrings & Glutes	Glutes, hamstrings	Hinge	Hamstrings & Glutes | Hinge	Compound	Full Gym	Cable machine, rope	Beginner	No	Yes	Load	General Fitness	Teaches the hinge with the load pulling the hips backward, so the pattern clicks fast. Low spinal load makes it a good high rep finisher.	A cable hinge that teaches the hip pattern with the load pulling you backwards, not down.	Face away from a low pulley with the rope between your legs	Push your hips back until you feel a hamstring stretch	Snap your hips forward and squeeze the glutes	Pulling the rope with the arms instead of driving the hips.	Romanian Deadlift, Hip Thrust, Glute Bridge, Back Extension, Prone Superman	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Romanian Deadlift.	HG01, HG02, HG03, HG09, HG12	Yes	No	cable_machine,rope_attachment		Low	No	Yes		weight_reps	kg	lower_back, hip, hamstring
HG09	Back Extension	Hamstrings & Glutes	Erectors, glutes, hamstrings	Hinge	Hamstrings & Glutes | Hinge	Isolation	Basic Gym	45 degree bench or GHD	Beginner	No	Yes	Load	General Fitness	Builds lower back endurance, which is the actual weak link for students who sit and study all day. Low load, high return.	A back extension that strengthens the hamstrings, glutes and spinal erectors together.	Set the pad just below your hip bones	Hinge down until you feel a hamstring stretch	Squeeze your glutes to raise your torso back to level	Cranking past level into a big lower back arch.	Prone Superman, Romanian Deadlift, Cable Pull Through, Glute Bridge	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Prone Superman.	HG12, HG01, HG08, HG03	Yes	No	back_extension_bench		Low	Yes	Yes		weight_reps	kg	lower_back, hip, hamstring
HG10	Hip Abduction	Hamstrings & Glutes	Gluteus medius, gluteus minimus	Isolation	H&G | Abduction	Isolation	Bodyweight	Resistance band or machine	Beginner	No	Yes	Load	General Fitness	The only movement here that trains hip abduction. Squats, hinges and lunges barely touch the glute medius, which drives knee tracking and lateral hip stability. Fills the largest coverage gap in the lower body.	A hip abduction that strengthens the side glutes and helps stubborn knee and hip pain.	Sit or stand with a band or the machine pad at your knees	Push your knees apart against the resistance	Return slowly without letting the band snap back	Leaning the torso back to force the range further.	Lateral Band Walk, Single Leg Glute Bridge, Glute Bridge, Side Plank	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Lateral Band Walk.	HG13, HG11, HG03, CO07	Yes	No	band/machine_abduction		Low	Yes	Yes		weight_reps	kg	knee, hip
HG11	Single Leg Glute Bridge	Hamstrings & Glutes	Gluteus maximus, hamstrings	Hinge	H&G | Glute Bridge	Compound	Bodyweight	None	Beginner	Yes	No	Rep	General Fitness	Doubles the load on the glute bridge using bodyweight alone. Gives the bridge a progression so a bodyweight user is not stuck once it becomes easy.	A one leg glute bridge that doubles the load on each glute with no equipment.	Lie on your back and lift one foot off the floor	Drive through the planted heel and lift your hips	Squeeze at the top and lower slowly	Letting one hip drop lower than the other.	Glute Bridge, Hip Thrust, Cable Pull Through, Back Extension	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Glute Bridge.	HG03, HG02, HG08, HG09	Yes	No	none		Low	Yes	Yes		reps	bodyweight	lower_back, hip, hamstring
HG12	Prone Superman	Hamstrings & Glutes	Erectors, glutes	Hinge	Hamstrings & Glutes | Hinge	Isolation	Bodyweight	None	Beginner	No	No	Rep	General Fitness	Lower back endurance from the floor, with no bench required. The bodyweight stand in for the back extension and safe for users with sensitive spines.	A floor extension for the glutes and lower back. Ideal when you have nothing at all.	Lie face down with your arms out in front	Lift your chest, arms and legs off the floor at once	Hold briefly, then lower slowly	Throwing the head back and straining the neck.	Back Extension, Glute Bridge, Single Leg Glute Bridge, Romanian Deadlift	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Back Extension.	HG09, HG03, HG11, HG01	Yes	No	none		Low	Yes	Yes		reps	bodyweight	lower_back, hip, hamstring
BI01	Barbell Curl	Biceps	Biceps brachii	Isolation	Biceps | Curl	Isolation	Basic Gym	Barbell or EZ bar	Beginner	No	Yes	Load	Hypertrophy	The heaviest loadable curl, so it progresses cleanly. Standard reference movement for direct arm work.	A loadable curl that lets you progress the biceps in small, trackable jumps.	Stand tall holding the bar with an underhand grip	Curl the bar up without swinging your elbows forward	Lower it slowly to straight arms	Rocking the body back to swing the bar up.	Cable Curl, Dumbbell Incline Curl, Hammer Curl, Band Curl, Chin Up (Close Grip), Supinated Inverted Row	6	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Cable Curl.	BI04, BI02, BI03, BI06, BI05, BI07	Yes	No	barbell/ez_bar		Low	No	Yes		weight_reps	kg	elbow
BI02	Dumbbell Incline Curl	Biceps	Biceps brachii, long head	Isolation	Biceps | Curl	Isolation	Basic Gym	Dumbbells, incline bench	Intermediate	Yes	Yes	Load	Hypertrophy	The shoulder extended position stretches the long head under load, which no standing curl achieves. Different stimulus, not just a different tool.	A curl done lying back on an incline. Puts the biceps under a hard stretch.	Sit back on an incline bench and let your arms hang straight down	Curl the dumbbells up without moving your elbows forward	Lower all the way until your arms are fully straight	Cutting the bottom of the rep short and losing the stretch.	Barbell Curl, Cable Curl, Hammer Curl, Band Curl	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Barbell Curl.	BI01, BI04, BI03, BI06	Yes	No	dumbbell,incline_bench		Low	Yes	Yes		weight_reps	kg	elbow
BI03	Hammer Curl	Biceps	Brachialis, brachioradialis	Isolation	Biceps | Curl	Isolation	Basic Gym	Dumbbells	Beginner	Yes	Yes	Load	Hypertrophy	Trains the brachialis and forearm, which add arm thickness the supinated curl misses. Also gentler on cranky elbows and wrists.	A neutral grip curl that builds the outer arm and forearm as well as the biceps.	Stand with dumbbells at your sides, palms facing in	Curl up keeping the palms facing each other	Lower slowly to straight arms	Letting the elbows drift forward at the top.	Barbell Curl, Cable Curl, Dumbbell Incline Curl, Band Curl	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Barbell Curl.	BI01, BI04, BI02, BI06	Yes	No	dumbbell		Low	No	Yes		weight_reps	kg	elbow
BI04	Cable Curl	Biceps	Biceps brachii	Isolation	Biceps | Curl	Isolation	Full Gym	Cable machine	Beginner	No	Yes	Load	Hypertrophy	Constant tension with no dead spot at the top. Good for high rep pump work at the end of a pull day.	A cable curl that keeps tension on the biceps even at the top of the rep.	Stand a step back from a low pulley and grip the bar underhand	Curl up with your elbows pinned to your sides	Lower under control against the cable	Stepping too close so the tension disappears at the bottom.	Barbell Curl, Dumbbell Incline Curl, Hammer Curl, Band Curl	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Barbell Curl.	BI01, BI02, BI03, BI06	Yes	No	cable_machine		Low	No	Yes		weight_reps	kg	elbow
BI05	Chin Up (Close Grip)	Biceps	Biceps brachii, lats	Vertical Pull	Biceps | Compound Pull	Compound	Bodyweight	Pull up bar	Advanced	No	Yes	Load	Strength	The only heavy compound biceps option. Lets a time poor user train back and arms in one movement.	A close grip chin up. The heaviest biceps exercise you can do. Advanced users only.	Hang from the bar with palms facing you, hands close together	Pull your chest to the bar and think about curling yourself up	Lower slowly to straight arms	Swinging the legs to generate momentum.	Supinated Inverted Row, Band Assisted Chin Up, Barbell Curl, Cable Curl, Hammer Curl	5	2	Advanced only. Never taken to failure. Beginner and intermediate users are served Supinated Inverted Row instead.	BI07, BK15, BI01, BI04, BI03	No	No	pull_up_bar		Low	No	Yes		weight_reps	kg	shoulder, elbow
BI06	Band Curl	Biceps	Biceps brachii	Isolation	Biceps | Curl	Isolation	Bodyweight	Resistance band	Beginner	Yes	Yes	Load	General Fitness	A bodyweight beginner previously had no biceps option, since the chin up is advanced. Bands give a scalable curl anywhere.	A banded curl for training the arms with no weights at all.	Stand on the band and hold the ends with palms up	Curl your hands to your shoulders	Lower slowly and fight the band on the way down	Letting the band snap the arms back down.	Hammer Curl, Barbell Curl, Cable Curl, Supinated Inverted Row	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Hammer Curl.	BI03, BI01, BI04, BI07	Yes	No	band		Low	No	Yes		weight_reps	kg	elbow
BI07	Supinated Inverted Row	Biceps	Biceps brachii, lats	Horizontal Pull	Biceps | Compound Pull	Compound	Bodyweight	Bar, rings or table edge	Beginner	No	No	Rep	General Fitness	A beginner friendly compound biceps option, since the chin up is advanced and the band curl was the only other choice. Difficulty scales purely by foot position.	An underhand bodyweight row that loads the biceps and back at the same time.	Lie under a bar and grip it underhand, shoulder width	Pull your chest to the bar, elbows close to your body	Lower until your arms are straight	Letting the hips sag instead of holding a rigid line.	Band Assisted Chin Up, Chin Up (Close Grip), Band Curl, Hammer Curl, Barbell Curl	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Band Assisted Chin Up.	BK15, BI05, BI06, BI03, BI01	Yes	No	low_bar/rings/sturdy_table		Low	No	Yes		reps	bodyweight	shoulder, elbow, upper_back
TR01	Close Grip Bench Press	Triceps	Triceps, pectoralis, anterior delt	Horizontal Push	Triceps | Compound Press	Compound	Full Gym	Barbell, bench	Intermediate	No	Yes	Load	Strength	Heavy compound triceps loading that carries straight over to bench press lockout. The strength focused arm option.	A narrow grip bench press. The heaviest way to load the triceps.	Grip the bar around shoulder width, not any narrower	Lower it to your lower chest with your elbows tucked in	Press straight back up	Gripping so narrow that the wrists and elbows take the strain.	Skull Crusher, Triceps Pushdown, Overhead Cable Extension, Diamond Push Up, Bench Dip, Band Triceps Pushdown	6	1	Free weight compound. Always stop at least one rep short of failure. Swap to Skull Crusher if form breaks down.	TR04, TR03, TR02, TR06, TR05, TR07	No	Yes	barbell,bench		Low	No	Yes		weight_reps	kg	shoulder, elbow, wrist, chest
TR02	Overhead Cable Extension	Triceps	Triceps, long head	Isolation	Triceps | Extension	Isolation	Full Gym	Cable machine, rope	Beginner	No	Yes	Load	Hypertrophy	The overhead position lengthens the long head, which is the largest triceps head and the one pressing neglects. Highest value triceps isolation.	An overhead extension that trains the long head of the triceps under a full stretch.	Face away from the pulley with the rope behind your head	Straighten your arms overhead, elbows pointing forward	Let your hands drop behind your head under control	Letting the elbows flare out wide as you press.	Skull Crusher, Triceps Pushdown, Band Triceps Pushdown, Close Grip Bench Press, Diamond Push Up	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Skull Crusher.	TR04, TR03, TR07, TR01, TR06	Yes	No	cable_machine,rope_attachment		Low	No	Yes		weight_reps	kg	elbow
TR03	Triceps Pushdown	Triceps	Triceps, lateral head	Isolation	Triceps | Extension	Isolation	Basic Gym	Cable machine	Beginner	No	Yes	Load	Hypertrophy	Simple, low fatigue and easy to load. The default triceps finisher when the user is already tired from pressing.	A cable pushdown. The simplest way to add safe triceps volume.	Stand tall with your elbows pinned to your sides	Push the bar down until your arms are straight	Let it rise back to chest height slowly	Leaning over the bar and pressing with the chest.	Band Triceps Pushdown, Overhead Cable Extension, Skull Crusher, Diamond Push Up, Bench Dip	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Band Triceps Pushdown.	TR07, TR02, TR04, TR06, TR05	Yes	No	cable_machine		Low	No	Yes		weight_reps	kg	elbow
